ad_id,Has this ad been deleted? Why?,what is the brand?,What is the product?,what is the category of the product?,"Do you believe that this video was sponsored by a commercial brand, public agency (e.g., FIESP/FIEMG/SESI), government agency or an youtuber (famous or not)?","Do you believe this ad employs multimedia (audio, video) or other features in its discourse to attract the attention of children?","Do any well known children character appear on the ad?
",Does this ad advertise a product geared to children?,"Based on your personal beliefs, 
do you think the ad is unsuitable for children?"
OwHrUDi7Fc8,,,,,,,,,
fBj-z69BmxY,,,,,,,,,
mbPy3mT-0R0,,,,,,,,,
AoyAT74Ie3I,,,,,,,,,
gVQIDb3Lm3Y,,,,,,,,,
IhvuuP-p8Do,,,,,,,,,
5-gEERQ3yp0,,,,,,,,,
du4mcBSWiwI,,,,,,,,,
yznZEZnoCNI,,,,,,,,,
hawthY7jCIo,,,,,,,,,
0XGP_tZuEIQ,,,,,,,,,
2qg0fpE-Lkg,,,,,,,,,
-rXdptVUXMc,,,,,,,,,
UMuHqF0nAiY,,,,,,,,,
gz5vTt4gpqI,,,,,,,,,
cjI79B8XSCo,,,,,,,,,
MCE0lAPE32I,,,,,,,,,
SRjXvh9KXK0,,,,,,,,,
n7KOeAx4YIc,,,,,,,,,
IoECaXJnkoM,,,,,,,,,
d2QOWs3pv6w,,,,,,,,,
IFiW7U5qgG0,,,,,,,,,
qamzJpRiYD8,,,,,,,,,
FZGMQs3obFc,,,,,,,,,
1fKkqGz0-fA,,,,,,,,,
hQwqXbcZ_bU,,,,,,,,,
IQpsN7KoiJQ,,,,,,,,,
Mf1uhi29R7A,,,,,,,,,
ihddOzEwnHQ,,,,,,,,,
s_xqUHGmrhM,,,,,,,,,
djNs_w7wMOA,,,,,,,,,
w4-xR6P4Wlc,,,,,,,,,
eXN02fyEyec,,,,,,,,,
RIUce2uqWTA,,,,,,,,,
IRSNBzhEFsc,,,,,,,,,
i1Yj7jWe5x8,,,,,,,,,
ogcYOI_zt_I,,,,,,,,,
3HGKrBTMH9g,,,,,,,,,
qo2mtkvVyWs,,,,,,,,,
JSq-ImPEU2k,,,,,,,,,
M6zmFda8sxM,,,,,,,,,
xTHfy4Hi42g,,,,,,,,,
Wv8BKAsOOrg,,,,,,,,,
tWY8q6jgpTQ,,,,,,,,,
_AqdAVdu08o,,,,,,,,,
A4xZKFpgSFw,,,,,,,,,
1B_yz_dIVVw,,,,,,,,,
67j2nccC774,,,,,,,,,
LL8NzbW3jro,,,,,,,,,
ieMXfcqQPKU,,,,,,,,,
HrwOgu0D6Iw,,,,,,,,,
9GNer2xak2Y,,,,,,,,,
0HgV-L394m0,,,,,,,,,
7I_0iXnYIys,,,,,,,,,
0FANckjzFoA,,,,,,,,,
inGSwxFOUHY,,,,,,,,,
Q-MsNwfEam8,,,,,,,,,
ErvsSSLfVDE,,,,,,,,,
GQewA8ovvpQ,,,,,,,,,
x_u6B3Uiut4,,,,,,,,,
UEY2Oz8TtrA,,,,,,,,,
OXVQzsJNFRM,,,,,,,,,
z-tSfBg-OEc,,,,,,,,,
WLT29BCt9Jo,,,,,,,,,
o5kkjac2000,,,,,,,,,
73rld8AWS-4,,,,,,,,,
cYoIXod1jQE,,,,,,,,,
0iKgdWlncgw,,,,,,,,,
tVwwPRdbj4g,,,,,,,,,
beusuXe4EsQ,,,,,,,,,
OWEJL07BDCA,,,,,,,,,
6bBop4kZGzQ,,,,,,,,,
bd0e30d03wY,,,,,,,,,
8kxl3H2oQoE,,,,,,,,,
qKoVsFI-IJ4,,,,,,,,,
bdYPo-mucSo,,,,,,,,,
C56tCScr_NA,,,,,,,,,
8tCK3JaDc3s,,,,,,,,,
sggyk5ZfqLw,,,,,,,,,
C43JWBnH0_U,,,,,,,,,
pDgKjFMQKG4,,,,,,,,,
KYEBx6xC-ps,,,,,,,,,
S9l2bawC8fk,,,,,,,,,
Q1Q7ybsL-Rk,,,,,,,,,
YtR2eFQVOBk,,,,,,,,,
kx8hhFLDeQo,,,,,,,,,
3XgmRs4f87c,,,,,,,,,
vheRbh7SgmI,,,,,,,,,
XdqxiZUqeOs,,,,,,,,,
rk3TQ61gzN4,,,,,,,,,
OHTpFghmZks,,,,,,,,,
7YSnJO5qXwU,,,,,,,,,
rxtxSF4SR_U,,,,,,,,,
AGeMj1qAdtE,,,,,,,,,
biVVG8nyro4,,,,,,,,,
qDmgx8BDB0I,,,,,,,,,
1sn8pT1TlvE,,,,,,,,,
ui5LwG472_o,,,,,,,,,
Lh-kqmBzToo,,,,,,,,,
3v5iyhOkvOA,,,,,,,,,
ONXx0DqiBgA,,,,,,,,,
G6a-FREGdzQ,,,,,,,,,
UQV7Ya7s1Pw,,,,,,,,,
StDNA48SU5s,,,,,,,,,
_ZEJMBtHOq8,,,,,,,,,
FMfY0hDPF_0,,,,,,,,,
O6K6SqFwg3U,,,,,,,,,
IyIdgyk-x1w,,,,,,,,,
UqeFn7wTtgI,,,,,,,,,
jhGKu2GWyVg,,,,,,,,,
8Wc0H-VaF5c,,,,,,,,,
pkxaqz0JVOg,,,,,,,,,
u2jhvDdZ48k,,,,,,,,,
Gs30r1Ap5og,,,,,,,,,
9AsG7ozVp2I,,,,,,,,,
mbMB8uaF-ZU,,,,,,,,,
g3ertSeV3pI,,,,,,,,,
yiapnF2xkTY,,,,,,,,,
Gy_SRx653Fo,,,,,,,,,
B830_JSk9Pw,,,,,,,,,
Ijgl2r2zCYk,,,,,,,,,
_zW57kF37LM,,,,,,,,,
_HoUktp0tQ8,,,,,,,,,
byGUnyLObS4,,,,,,,,,
TX-dGlLS3Uo,,,,,,,,,
r_gLD-CaM04,,,,,,,,,
LZQj0L9KCOM,,,,,,,,,
W5SsokOSU2w,,,,,,,,,
cyMyqtXJgsU,,,,,,,,,
1lOg4Ge9lxM,,,,,,,,,
TdVczKX6Qw8,,,,,,,,,
E_uSLl_JZHc,,,,,,,,,
fD4Fellv80M,,,,,,,,,
LXHnzn48CCo,,,,,,,,,
wFUrbGpArl0,,,,,,,,,
NP6vdpwMySc,,,,,,,,,
pTMJMr5li5Q,,,,,,,,,
J1Dc2Okf9gE,,,,,,,,,
gFBZNcL3Mt8,,,,,,,,,
cpnu9lwuCVA,,,,,,,,,
iwOgBdJ4ruk,,,,,,,,,
4QF3baTFNxg,,,,,,,,,
EnhABbYHp0s,,,,,,,,,
ie-heDB7Np8,,,,,,,,,
QPgi_kxKdGQ,,,,,,,,,
ylvkjv8ITN8,,,,,,,,,
kaxk6y7zErs,,,,,,,,,
tNEf0x8iAHk,,,,,,,,,
bINTu8WANjk,,,,,,,,,
